"name","lat","lon","A_in_2km","competitor_groups_2km","comp_stores_2km","is_competing_shoken","is_concern","category"
"杏林堂ドラッグストア 焼津大住店",34.8474242,138.2913752,6,9,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 西焼津駅北店",34.860949999999995,138.28485129999999,3,12,14,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 静岡登呂店",34.960410200000005,138.4122118,4,8,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 静岡大坪店",34.9637633,138.39810939999998,8,6,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 静岡千代田店",35.000459,138.4075291,6,6,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 静岡小鹿店",34.9706511,138.42213909999998,2,5,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア テレビ静岡前店",34.9906856,138.4260933,5,10,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 静岡小鹿店 調剤薬局",34.970414999999996,138.4220609,2,5,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 瀬名川店",35.0084848,138.4255344,6,14,14,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 静岡草薙店 調剤",35.0001999,138.4342404,5,14,14,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 南アルプス桃園店",35.6273128,138.46451159999998,1,7,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 峡西店",35.603929199999996,138.4675352,1,6,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 甲府徳行店",35.648455299999995,138.54860069999998,0,9,10,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ甲府徳行店",35.6489045,138.5489411,0,10,10,FALSE,FALSE,"重複なし(企業結合の影響なし)"
